省份,城市,年份,价格,趋势,,,,,,,
安徽,安庆,2015,5440,—,,,,,,,
安徽,安庆,2016,5347,0.27% ↑,,,,,,,
安徽,安庆,2017,6923,0.01% ↑,,,,,,,
安徽,安庆,2018,8603,0.98% ↓,,,,,,,
安徽,安庆,2019,8451,0.07% ↓,,,,,,,
安徽,安庆,2020,8479,0.28% ↓,,,,,,,
安徽,安庆,2021,8117,1.56% ↓,,,,,,,
安徽,安庆,2022,7447,1.36% ↓,,,,,,,
安徽,安庆,2023,6937,2.39% ↓,,,,,,,
安徽,安庆,2024,6910,0.75% ↑,,,,,,,
安徽,蚌埠,2015,5264,3.00% ↓,,,,,,,
安徽,蚌埠,2016,5111,0.84% ↓,,,,,,,
安徽,蚌埠,2017,6414,0.05% ↑,,,,,,,
安徽,蚌埠,2018,6803,0.97% ↓,,,,,,,
安徽,蚌埠,2019,7060,1.27% ↓,,,,,,,
安徽,蚌埠,2020,7178,0.04% ↓,,,,,,,
安徽,蚌埠,2021,7389,0.67% ↓,,,,,,,
安徽,蚌埠,2022,7445,0.39% ↓,,,,,,,
安徽,蚌埠,2023,6785,1.03% ↓,,,,,,,
安徽,蚌埠,2024,6767,0.19% ↓,,,,,,,
安徽,亳州,2015,4540,1.00% ↑,,,,,,,
安徽,亳州,2016,4538,0.34% ↓,,,,,,,
安徽,亳州,2017,5462,0.03% ↑,,,,,,,
安徽,亳州,2018,6059,0.17% ↓,,,,,,,
安徽,亳州,2019,6258,0.19% ↓,,,,,,,
安徽,亳州,2020,6314,0.43% ↑,,,,,,,
安徽,亳州,2021,6312,1.32% ↓,,,,,,,
安徽,亳州,2022,6396,0.09% ↓,,,,,,,
安徽,亳州,2023,6468,0.07% ↑,,,,,,,
安徽,亳州,2024,6456,0.26% ↓,,,,,,,
安徽,巢湖,2016,6784,11.68% ↑,,,,,,,
安徽,巢湖,2017,8436,0.01% ↑,,,,,,,
安徽,巢湖,2018,8775,0.67% ↑,,,,,,,
安徽,巢湖,2019,9408,—,,,,,,,
安徽,巢湖,2020,9408,—,,,,,,,
安徽,巢湖,2021,9408,—,,,,,,,
安徽,巢湖,2022,9408,—,,,,,,,
安徽,巢湖,2023,9139,0.58% ↓,,,,,,,
安徽,巢湖,2024,8999,0.72% ↓,,,,,,,
安徽,池州,2015,5564,2.00% ↑,,,,,,,
安徽,池州,2016,5570,—,,,,,,,
安徽,池州,2017,7491,0.05% ↑,,,,,,,
安徽,池州,2018,8332,0.22% ↓,,,,,,,
安徽,池州,2019,8767,1.10% ↓,,,,,,,
安徽,池州,2020,8824,0.17% ↓,,,,,,,
安徽,池州,2021,8937,0.76% ↓,,,,,,,
安徽,池州,2022,8848,0.10% ↓,,,,,,,
安徽,池州,2023,8097,2.97% ↓,,,,,,,
安徽,池州,2024,8084,0.09% ↓,,,,,,,
安徽,滁州,2017,6455,0.05% ↓,,,,,,,
安徽,滁州,2018,6438,0.27% ↑,,,,,,,
安徽,滁州,2019,7113,0.45% ↓,,,,,,,
安徽,滁州,2020,7142,1.08% ↓,,,,,,,
安徽,滁州,2021,7106,0.52% ↑,,,,,,,
安徽,滁州,2022,6800,1.79% ↓,,,,,,,
安徽,滁州,2023,6300,0.10% ↓,,,,,,,
安徽,滁州,2024,6231,0.13% ↓,,,,,,,
安徽,阜阳,2015,6258,—,,,,,,,
安徽,阜阳,2016,6596,1.06% ↑,,,,,,,
安徽,阜阳,2017,8939,0.01% ↑,,,,,,,
安徽,阜阳,2018,8676,1.88% ↓,,,,,,,
安徽,阜阳,2019,7942,1.82% ↓,,,,,,,
安徽,阜阳,2020,8006,0.23% ↑,,,,,,,
安徽,阜阳,2021,7211,0.65% ↓,,,,,,,
安徽,阜阳,2022,7168,0.11% ↓,,,,,,,
安徽,阜阳,2023,6462,1.11% ↓,,,,,,,
安徽,阜阳,2024,6356,0.53% ↓,,,,,,,
安徽,合肥,2011,6463,1.03% ↓,,,,,,,
安徽,合肥,2012,6588,0.67% ↑,,,,,,,
安徽,合肥,2013,7340,0.89% ↑,,,,,,,
安徽,合肥,2014,7762,0.01% ↓,,,,,,,
安徽,合肥,2015,8393,1.00% ↑,,,,,,,
安徽,合肥,2016,14863,2.03% ↑,,,,,,,
安徽,合肥,2017,14247,0.01% ↓,,,,,,,
安徽,合肥,2018,14103,0.74% ↓,,,,,,,
安徽,合肥,2019,14115,0.36% ↓,,,,,,,
安徽,合肥,2020,14274,0.34% ↓,,,,,,,
安徽,合肥,2021,15773,0.99% ↓,,,,,,,
安徽,合肥,2022,16108,0.16% ↑,,,,,,,
安徽,合肥,2023,14840,1.83% ↓,,,,,,,
安徽,合肥,2024,14545,0.76% ↓,,,,,,,
安徽,和县,2019,4566,1.84% ↑,,,,,,,
安徽,和县,2020,5041,1.93% ↑,,,,,,,
安徽,和县,2021,7043,0.40% ↑,,,,,,,
安徽,和县,2022,7043,—,,,,,,,
安徽,和县,2023,7043,—,,,,,,,
