省份,城市,年份,价格,趋势,,,,,,
安徽,安庆,2015,5484,--,,,,,,
安徽,安庆,2016,5391,0.27%↑,,,,,,
安徽,安庆,2017,6979,0.01%↑,,,,,,
安徽,安庆,2018,8673,0.98%↓,,,,,,
安徽,安庆,2019,8521,0.06%↓,,,,,,
安徽,安庆,2020,8523,0.33%↓,,,,,,
安徽,安庆,2021,8017,1.69%↓,,,,,,
安徽,安庆,2022,7493,1.56%↓,,,,,,
安徽,安庆,2023,6993,2.39%↓,,,,,,
安徽,安庆,2024,6966,0.75%↑,,,,,,
安徽,蚌埠,2015,5307,3%↓,,,,,,
安徽,蚌埠,2016,5153,0.84%↓,,,,,,
安徽,蚌埠,2017,6466,0.05%↑,,,,,,
安徽,蚌埠,2018,6858,0.97%↓,,,,,,
安徽,蚌埠,2019,7113,1.33%↓,,,,,,
安徽,蚌埠,2020,7294,0.94%↓,,,,,,
安徽,蚌埠,2021,7446,0.09%↑,,,,,,
安徽,蚌埠,2022,7524,0.15%↓,,,,,,
安徽,蚌埠,2023,6840,1.03%↓,,,,,,
安徽,蚌埠,2024,6822,0.19%↓,,,,,,
安徽,亳州,2015,4577,1%↑,,,,,,
安徽,亳州,2016,4575,0.34%↓,,,,,,
安徽,亳州,2017,5507,0.03%↑,,,,,,
安徽,亳州,2018,6108,0.17%↓,,,,,,
安徽,亳州,2019,6308,0.21%↓,,,,,,
安徽,亳州,2020,6271,0.64%↓,,,,,,
安徽,亳州,2021,6300,0.42%↓,,,,,,
安徽,亳州,2022,6442,0.19%↓,,,,,,
安徽,亳州,2023,6521,0.07%↑,,,,,,
安徽,亳州,2024,6509,0.26%↓,,,,,,
安徽,巢湖,2016,6839,11.68%↑,,,,,,
安徽,巢湖,2017,8505,0.01%↑,,,,,,
安徽,巢湖,2018,8846,0.67%↑,,,,,,
安徽,巢湖,2019,9484,--,,,,,,
安徽,巢湖,2020,9484,--,,,,,,
安徽,巢湖,2021,9484,--,,,,,,
安徽,巢湖,2022,9484,--,,,,,,
安徽,巢湖,2023,9213,0.58%↓,,,,,,
安徽,巢湖,2024,9072,0.72%↓,,,,,,
安徽,池州,2015,5609,2%↑,,,,,,
安徽,池州,2016,5615,--,,,,,,
安徽,池州,2017,7552,0.05%↑,,,,,,
安徽,池州,2018,8400,0.22%↓,,,,,,
安徽,池州,2019,8838,1.11%↓,,,,,,
安徽,池州,2020,9012,0.03%↓,,,,,,
安徽,池州,2021,8836,1.21%↓,,,,,,
安徽,池州,2022,8907,0.24%↓,,,,,,
安徽,池州,2023,8163,2.97%↓,,,,,,
安徽,池州,2024,8150,0.09%↓,,,,,,
安徽,滁州,2016,941,66.35%↓,,,,,,
安徽,滁州,2017,6508,0.05%↓,,,,,,
安徽,滁州,2018,6490,0.27%↑,,,,,,
安徽,滁州,2019,7170,0.46%↓,,,,,,
安徽,滁州,2020,6945,0.82%↓,,,,,,
安徽,滁州,2021,7111,1.08%↓,,,,,,
安徽,滁州,2022,6837,2.04%↓,,,,,,
安徽,滁州,2023,6351,0.1%↓,,,,,,
安徽,滁州,2024,6282,0.13%↓,,,,,,
安徽,阜阳,2015,6309,--,,,,,,
安徽,阜阳,2016,6650,1.06%↑,,,,,,
安徽,阜阳,2017,9012,0.01%↑,,,,,,
安徽,阜阳,2018,8746,1.88%↓,,,,,,
安徽,阜阳,2019,8002,1.88%↓,,,,,,
安徽,阜阳,2020,7459,1.35%↓,,,,,,
安徽,阜阳,2021,7080,1.73%↓,,,,,,
安徽,阜阳,2022,7221,0.19%↓,,,,,,
安徽,阜阳,2023,6515,1.11%↓,,,,,,
安徽,阜阳,2024,6408,0.53%↓,,,,,,
安徽,合肥,2015,8461,1%↑,,,,,,
安徽,合肥,2016,14983,2.03%↑,,,,,,
安徽,合肥,2017,14362,0.01%↓,,,,,,
安徽,合肥,2018,14217,0.74%↓,,,,,,
安徽,合肥,2019,14226,0.38%↓,,,,,,
安徽,合肥,2020,14594,1.33%↑,,,,,,
安徽,合肥,2021,15825,0.02%↓,,,,,,
安徽,合肥,2022,16265,0.33%↑,,,,,,
安徽,合肥,2023,14960,1.83%↓,,,,,,
安徽,合肥,2024,14663,0.76%↓,,,,,,
安徽,和县,2019,4603,1.85%↑,,,,,,
安徽,和县,2020,5823,1.78%↑,,,,,,
安徽,和县,2021,7100,--,,,,,,
安徽,和县,2022,7100,--,,,,,,
安徽,和县,2023,7100,--,,,,,,
安徽,和县,2024,7100,--,,,,,,
安徽,淮北,2015,5073,--,,,,,,
安徽,淮北,2016,5416,--,,,,,,
安徽,淮北,2017,5942,0.04%↓,,,,,,
安徽,淮北,2018,6290,0.09%↓,,,,,,
安徽,淮北,2019,6831,0.74%↑,,,,,,
安徽,淮北,2020,7322,0.77%↓,,,,,,
安徽,淮北,2021,7563,0.64%↓,,,,,,
